ts,temperature,dew_point,rel_humidity,wind_dir,wind_speed,visibility,stn_pressure,humidex,wind_chill,notes
2013-01-11D19:00:00.000000000,5.8,5.8,100,180,7,4.8,99.13,,,"Drizzle,Fog"
2013-01-11D20:00:00.000000000,6.5,6.5,100,180,6,6.4,99.15,,,Fog
2013-01-11D21:00:00.000000000,6,6,100,140,7,6.4,99.1,,,Fog
2013-01-11D22:00:00.000000000,6.7,6.7,100,230,6,6.4,99.17,,,Fog
2013-01-11D23:00:00.000000000,8.3,8.2,99,220,13,8,99.15,,,Fog
2013-01-12D00:00:00.000000000,7.8,7.5,98,220,9,9.7,99.2,,,Fog
2013-01-12D01:00:00.000000000,7.4,7.2,99,170,6,9.7,99.2,,,Fog
2013-01-12D02:00:00.000000000,7.1,7,99,170,6,8,99.22,,,Fog
2013-01-12D03:00:00.000000000,6.6,6.6,100,150,7,4,99.24,,,Fog
2013-01-12D04:00:00.000000000,6.9,6.9,100,180,7,4,99.19,,,Fog
